venta_id,cliente_id,fecha_venta,total_eur,metodo_pago,tienda
65,122,2023-07-21,64.99,Transferencia,Tienda1
66,112,2022-06-30,105.69,Tarjeta Crédito,Tienda4
67,289,2022-07-24,117.14,Tarjeta Débito,Tienda5
68,435,2019-12-14,82.72,Tarjeta Débito,Tienda1
69,581,2020-09-06,55.38,Tarjeta Crédito,Tienda1
70,546,2019-06-25,165.29,Tarjeta Débito,Tienda2
71,659,2022-04-24,40.85,Transferencia,Tienda1
72,675,2022-02-04,236.26,Tarjeta Crédito,Tienda2
73,557,2019-10-14,266.39,Tarjeta Crédito,Tienda1
74,228,2021-12-05,242.07,Efectivo,Tienda1
75,399,2020-12-18,152.08,Tarjeta Débito,Tienda5
76,95,2020-11-05,185.93,Efectivo,Tienda3
77,152,2022-07-03,35.31,Tarjeta Crédito,Tienda3
78,160,2022-07-23,254.04,Tarjeta Crédito,Tienda4
79,191,2020-01-19,135.39,Efectivo,Tienda3
80,438,2020-01-29,288.93,Tarjeta Crédito,Tienda4
81,596,2021-06-05,124.35,Transferencia,Tienda1
82,139,2022-01-02,221.68,Efectivo,Tienda3
83,692,2020-11-18,212.27,Efectivo,Tienda4
84,252,2022-09-19,217.13,Transferencia,Tienda5
85,72,2021-07-24,249.48,Transferencia,Tienda4
86,272,2022-04-21,48.82,Tarjeta Crédito,Tienda2
87,193,2020-05-04,34.25,Transferencia,Tienda2
88,110,2023-09-12,295.58,Tarjeta Crédito,Tienda2
89,264,2020-07-07,164.34,Tarjeta Crédito,Tienda2
90,71,2022-08-24,287.58,Efectivo,Tienda3
91,429,2021-01-30,93.25,Tarjeta Débito,Tienda3
92,323,2020-02-13,115.9,Efectivo,Tienda5
93,269,2020-12-09,151.08,Tarjeta Débito,Tienda5
94,450,2022-10-31,188.38,Transferencia,Tienda3
95,562,2022-12-10,59.75,Tarjeta Crédito,Tienda2
96,582,2023-02-11,280.48,Efectivo,Tienda4
97,112,2023-03-15,132.65,Tarjeta Débito,Tienda5
98,569,2021-01-21,39.63,Tarjeta Crédito,Tienda4
99,692,2019-09-06,85.34,Tarjeta Crédito,Tienda2
100,72,2023-11-13,197.48,Tarjeta Débito,Tienda1
101,525,2019-08-31,139.83,Tarjeta Crédito,Tienda5
102,394,2020-03-03,150.93,Tarjeta Crédito,Tienda2
103,308,2019-07-26,61.7,Efectivo,Tienda4
104,136,2023-01-26,164.82,Transferencia,Tienda4
105,588,2020-12-02,124.4,Tarjeta Débito,Tienda2
106,151,2019-11-10,259.01,Tarjeta Crédito,Tienda1
107,10,2022-01-27,15.63,Tarjeta Crédito,Tienda3
108,647,2022-05-13,180.62,Efectivo,Tienda1
109,486,2022-03-21,257.77,Efectivo,Tienda2
110,401,2019-01-13,109.99,Tarjeta Débito,Tienda1
111,94,2023-04-02,156.01,Tarjeta Débito,Tienda3
112,561,2021-01-22,284.89,Transferencia,Tienda4
113,565,2022-05-14,141.03,Efectivo,Tienda1
114,15,2022-06-27,269.29,Tarjeta Crédito,Tienda3
115,543,2023-08-24,193.85,Tarjeta Débito,Tienda5
116,401,2022-01-17,192.47,Efectivo,Tienda1
117,61,2019-03-16,142.44,Efectivo,Tienda1
118,584,2020-04-12,190.7,Transferencia,Tienda3
119,527,2023-09-29,259.87,Tarjeta Débito,Tienda2
120,500,2021-05-14,29.61,Efectivo,Tienda4
121,219,2024-02-05,166.16,Transferencia,Tienda1
122,108,2022-11-19,127.83,Tarjeta Crédito,Tienda2
123,307,2023-06-14,134.31,Efectivo,Tienda1
124,509,2021-06-19,140.16,Transferencia,Tienda2
125,500,2023-09-18,221.15,Tarjeta Débito,Tienda2
126,184,2020-01-03,109.93,Transferencia,Tienda1
127,580,2022-07-13,132.03,Tarjeta Débito,Tienda1
128,552,2024-02-15,220.97,Tarjeta Crédito,Tienda2
129,259,2020-07-15,31.31,Transferencia,Tienda1
130,633,2020-06-28,22.54,Efectivo,Tienda2
131,447,2021-08-17,255.35,Efectivo,Tienda3
132,390,2022-06-15,103.53,Efectivo,Tienda2
133,88,2022-02-23,116.59,Transferencia,Tienda1
134,129,2022-12-26,211.87,Transferencia,Tienda4
135,399,2024-02-21,197.94,Transferencia,Tienda2
136,166,2021-11-17,47.05,Tarjeta Débito,Tienda2
137,619,2021-01-06,253.43,Tarjeta Débito,Tienda3
138,182,2023-07-02,194.64,Tarjeta Crédito,Tienda1
139,368,2019-05-04,33.58,Transferencia,Tienda1
140,543,2024-01-18,146.95,Tarjeta Crédito,Tienda5
141,126,2021-05-17,56.07,Efectivo,Tienda5
142,522,2024-01-08,212.91,Tarjeta Débito,Tienda4
143,401,2019-12-09,99.38,Tarjeta Débito,Tienda3
144,203,2019-05-11,103.97,Tarjeta Crédito,Tienda1
145,618,2022-04-28,258.15,Tarjeta Débito,Tienda4
146,489,2023-10-23,62.2,Tarjeta Crédito,Tienda2
147,619,2022-04-22,177.9,Transferencia,Tienda2
148,692,2021-09-16,106.12,Tarjeta Débito,Tienda3
149,93,2021-06-04,153.19,Tarjeta Débito,Tienda3
150,91,2022-04-17,167.35,Tarjeta Crédito,Tienda4
151,587,2022-06-03,130.94,Efectivo,Tienda2
152,60,2023-08-31,61.61,Tarjeta Débito,Tienda1
153,110,2020-07-01,61.4,Transferencia,Tienda4
154,517,2020-01-19,221.48,Transferencia,Tienda1
155,600,2020-08-10,78.59,Tarjeta Crédito,Tienda5
156,278,2021-07-25,173.2,Transferencia,Tienda2
157,579,2021-08-09,259.34,Tarjeta Débito,Tienda1
158,692,2022-12-15,205.78,Tarjeta Crédito,Tienda2
159,502,2022-07-15,214.01,Transferencia,Tienda5
160,697,2023-03-08,209.48,Efectivo,Tienda4
161,108,2023-05-21,119.4,Efectivo,Tienda5
162,637,2021-01-20,100.72,Tarjeta Crédito,Tienda4
163,546,2021-07-14,115.26,Efectivo,Tienda2
164,133,2022-08-26,112.34,Efectivo,Tienda3
165,412,2021-09-03,76.14,Efectivo,Tienda1
166,695,2020-02-01,19.24,Tarjeta Crédito,Tienda4
167,487,2020-02-12,216.54,Tarjeta Débito,Tienda5
168,408,2022-02-19,87.55,Efectivo,Tienda5
169,595,2021-10-21,177.93,Tarjeta Crédito,Tienda2
170,133,2023-10-10,167.82,Efectivo,Tienda3
171,548,2023-03-30,268.16,Tarjeta Crédito,Tienda2
172,654,2021-04-19,173.64,Efectivo,Tienda3
173,597,2023-04-22,240.41,Tarjeta Crédito,Tienda4
174,431,2019-03-18,35.94,Efectivo,Tienda1
175,324,2020-08-12,87.82,Tarjeta Crédito,Tienda3
176,482,2022-01-06,215.4,Efectivo,Tienda5
177,331,2020-06-27,239.94,Tarjeta Débito,Tienda3
178,274,2019-06-13,169.98,Tarjeta Crédito,Tienda4
179,184,2021-11-18,56.39,Efectivo,Tienda5
180,420,2020-01-03,29.87,Transferencia,Tienda3
181,643,2021-07-26,275.52,Tarjeta Débito,Tienda1
182,344,2019-01-16,282.02,Transferencia,Tienda1
183,692,2020-08-07,281.69,Efectivo,Tienda5
184,108,2023-03-01,45.85,Efectivo,Tienda3
185,218,2019-01-29,274.72,Tarjeta Crédito,Tienda2
186,255,2020-10-17,146.06,Transferencia,Tienda3
187,50,2023-04-01,86.26,Efectivo,Tienda2
188,216,2023-10-17,175.67,Transferencia,Tienda5
189,67,2022-04-18,74.86,Tarjeta Débito,Tienda4
190,70,2023-03-30,65.76,Transferencia,Tienda1
191,287,2021-04-12,167.03,Transferencia,Tienda3
192,389,2023-05-29,291.93,Tarjeta Crédito,Tienda4
193,53,2022-12-02,171.51,Tarjeta Crédito,Tienda5
194,385,2019-07-30,204.25,Tarjeta Débito,Tienda4
195,490,2020-10-13,36.16,Transferencia,Tienda2
196,268,2023-09-15,194.51,Tarjeta Débito,Tienda2
197,407,2019-04-08,202.71,Transferencia,Tienda5
198,537,2021-09-03,199.44,Tarjeta Crédito,Tienda3
199,28,2023-08-11,210.28,Tarjeta Crédito,Tienda1
200,204,2022-04-17,274.1,Tarjeta Crédito,Tienda3
201,389,2023-05-19,19.28,Transferencia,Tienda2
202,156,2022-10-14,244.05,Tarjeta Crédito,Tienda3
203,260,2020-04-09,46.31,Transferencia,Tienda3
204,360,2021-10-07,32.52,Tarjeta Crédito,Tienda1
205,85,2021-03-06,120.05,Tarjeta Crédito,Tienda2
206,264,2021-06-19,242.63,Tarjeta Crédito,Tienda2
207,614,2020-08-01,165.89,Transferencia,Tienda5
208,180,2019-04-19,77.79,Tarjeta Crédito,Tienda5
209,428,2022-08-20,282.4,Efectivo,Tienda5
210,319,2022-06-08,24.17,Tarjeta Débito,Tienda2
211,280,2023-02-09,108.39,Tarjeta Débito,Tienda3
212,574,2021-05-15,114.6,Tarjeta Crédito,Tienda1
213,635,2022-01-24,49.16,Efectivo,Tienda3
214,636,2020-03-15,249.7,Tarjeta Débito,Tienda1
215,666,2020-01-22,161.2,Efectivo,Tienda3
216,608,2021-09-15,212.24,Tarjeta Crédito,Tienda1
217,140,2023-12-18,141.21,Transferencia,Tienda2
218,36,2019-04-06,228.98,Transferencia,Tienda2
219,158,2020-11-26,258.9,Transferencia,Tienda5
220,348,2021-07-07,86.82,Transferencia,Tienda2
221,302,2023-06-20,122.01,Tarjeta Débito,Tienda3
222,563,2019-04-29,228.48,Efectivo,Tienda3
223,159,2019-07-26,60.59,Efectivo,Tienda4
224,282,2023-06-04,226.91,Transferencia,Tienda4
225,569,2023-03-22,236.1,Transferencia,Tienda5
226,357,2019-02-06,176.54,Efectivo,Tienda2
227,608,2019-03-08,172.78,Transferencia,Tienda2
228,339,2020-11-24,21.01,Tarjeta Débito,Tienda5
229,330,2019-06-12,239.5,Tarjeta Crédito,Tienda3
230,425,2023-01-12,266.84,Transferencia,Tienda4
231,88,2020-07-25,27.05,Efectivo,Tienda5
232,279,2021-09-26,214.0,Efectivo,Tienda2
233,100,2020-08-24,191.37,Efectivo,Tienda3
234,570,2023-08-22,138.83,Tarjeta Débito,Tienda2
235,69,2020-06-08,119.21,Transferencia,Tienda1
236,435,2023-10-17,210.89,Efectivo,Tienda3
237,180,2019-02-20,205.64,Efectivo,Tienda1
238,239,2019-05-18,284.7,Tarjeta Crédito,Tienda2
239,179,2021-12-27,139.02,Tarjeta Crédito,Tienda5
240,284,2023-08-19,197.49,Tarjeta Crédito,Tienda4
241,285,2021-07-19,28.46,Tarjeta Crédito,Tienda3
242,164,2021-04-24,178.44,Tarjeta Crédito,Tienda3
243,38,2021-01-21,32.67,Efectivo,Tienda5
244,506,2020-10-16,104.33,Efectivo,Tienda3
245,90,2021-02-24,50.16,Tarjeta Débito,Tienda2
246,54,2019-03-30,50.21,Tarjeta Débito,Tienda3
247,29,2023-01-05,116.5,Efectivo,Tienda3
248,179,2023-03-18,276.82,Transferencia,Tienda5
249,28,2019-03-04,160.71,Transferencia,Tienda4
250,373,2021-02-08,96.25,Transferencia,Tienda4
251,197,2020-03-04,69.42,Tarjeta Débito,Tienda5
252,586,2019-11-14,170.87,Efectivo,Tienda4
253,27,2019-03-13,217.25,Transferencia,Tienda5
254,398,2023-12-15,71.66,Transferencia,Tienda5
255,68,2024-01-19,39.52,Transferencia,Tienda3
256,613,2020-10-20,190.81,Efectivo,Tienda4
257,438,2023-06-12,290.63,Tarjeta Crédito,Tienda4
258,419,2019-09-13,49.8,Tarjeta Crédito,Tienda3
259,435,2022-07-16,154.98,Efectivo,Tienda1
260,514,2021-09-19,153.7,Transferencia,Tienda4
261,688,2020-06-07,234.23,Tarjeta Débito,Tienda4
262,583,2021-12-16,252.41,Tarjeta Crédito,Tienda5
263,647,2020-05-30,293.63,Transferencia,Tienda3
264,693,2023-02-03,293.09,Transferencia,Tienda2
265,508,2022-04-18,190.02,Efectivo,Tienda1
266,280,2021-10-21,235.95,Efectivo,Tienda1
267,644,2022-06-24,88.86,Efectivo,Tienda4
268,294,2020-04-29,174.71,Tarjeta Débito,Tienda2
269,487,2023-07-27,180.82,Tarjeta Débito,Tienda3
270,114,2023-07-17,215.48,Transferencia,Tienda4
271,561,2023-02-04,255.25,Transferencia,Tienda3
272,119,2023-03-10,187.49,Transferencia,Tienda2
273,78,2022-01-05,153.94,Tarjeta Débito,Tienda4
274,525,2020-03-12,197.13,Efectivo,Tienda1
275,205,2021-11-01,197.19,Transferencia,Tienda2
276,167,2024-01-05,20.5,Tarjeta Crédito,Tienda4
277,255,2019-02-20,169.78,Tarjeta Débito,Tienda2
278,623,2023-12-21,204.85,Tarjeta Crédito,Tienda4
279,87,2021-03-22,204.88,Transferencia,Tienda4
280,27,2020-05-26,165.24,Transferencia,Tienda4
281,696,2023-08-12,104.38,Efectivo,Tienda3
282,647,2022-06-23,158.46,Tarjeta Crédito,Tienda4
283,458,2022-03-11,200.65,Tarjeta Crédito,Tienda5
284,14,2020-02-15,213.09,Efectivo,Tienda3
285,644,2021-03-05,158.99,Transferencia,Tienda2
286,208,2021-11-06,29.55,Efectivo,Tienda5
287,211,2023-08-21,33.74,Tarjeta Crédito,Tienda5
288,88,2019-06-29,254.05,Tarjeta Crédito,Tienda2
289,480,2023-03-07,164.24,Tarjeta Crédito,Tienda2
290,319,2021-05-08,96.31,Transferencia,Tienda5
291,519,2022-10-21,156.44,Tarjeta Débito,Tienda3
292,542,2023-04-10,108.98,Transferencia,Tienda4
293,475,2023-06-20,107.56,Tarjeta Crédito,Tienda3
294,494,2019-03-22,215.32,Tarjeta Débito,Tienda4
295,387,2020-04-17,236.89,Tarjeta Débito,Tienda5
296,1,2019-09-22,169.63,Tarjeta Crédito,Tienda1
297,227,2021-02-01,101.94,Tarjeta Crédito,Tienda4
298,489,2021-06-13,209.02,Efectivo,Tienda4
299,581,2020-08-13,250.55,Tarjeta Crédito,Tienda1
300,366,2022-05-16,273.07,Efectivo,Tienda1
301,134,2021-08-24,192.94,Transferencia,Tienda4
302,581,2022-03-10,23.56,Tarjeta Crédito,Tienda3
303,455,2022-01-14,81.26,Transferencia,Tienda5
304,235,2023-08-09,104.19,Tarjeta Débito,Tienda3
305,303,2019-07-27,270.33,Transferencia,Tienda3
306,497,2023-01-12,18.01,Tarjeta Crédito,Tienda1
307,121,2022-07-27,135.77,Transferencia,Tienda1
308,18,2021-10-19,293.49,Tarjeta Débito,Tienda1
309,445,2020-11-24,144.33,Efectivo,Tienda3
310,212,2019-11-09,190.51,Efectivo,Tienda4
311,453,2021-05-19,256.95,Transferencia,Tienda4
312,191,2023-11-13,141.71,Tarjeta Crédito,Tienda4
313,80,2021-08-13,111.99,Transferencia,Tienda5
314,370,2022-07-02,224.65,Tarjeta Débito,Tienda2
315,156,2021-03-27,134.88,Efectivo,Tienda1
316,222,2020-10-10,142.56,Tarjeta Débito,Tienda5
317,181,2023-09-08,147.49,Efectivo,Tienda1
318,694,2019-01-16,281.97,Efectivo,Tienda3
319,437,2022-10-08,197.12,Transferencia,Tienda3
320,54,2023-07-10,133.24,Tarjeta Débito,Tienda2
321,215,2023-08-25,283.93,Tarjeta Débito,Tienda1
322,529,2022-02-21,281.2,Tarjeta Débito,Tienda5
323,74,2022-04-23,28.52,Efectivo,Tienda2
324,643,2019-12-07,282.71,Tarjeta Crédito,Tienda4
325,657,2022-03-30,27.94,Tarjeta Crédito,Tienda5
326,588,2020-01-23,208.95,Transferencia,Tienda3
327,556,2023-04-05,276.48,Transferencia,Tienda4
328,556,2022-06-15,267.34,Transferencia,Tienda2
329,62,2020-06-19,97.75,Tarjeta Crédito,Tienda3
330,485,2022-05-19,236.58,Efectivo,Tienda2
331,376,2020-07-13,272.27,Tarjeta Crédito,Tienda2
332,353,2021-08-15,114.98,Tarjeta Débito,Tienda3
333,158,2020-01-07,261.74,Transferencia,Tienda3
334,643,2023-11-03,36.25,Tarjeta Débito,Tienda2
335,299,2019-09-18,35.37,Tarjeta Débito,Tienda4
336,648,2019-01-17,275.91,Tarjeta Débito,Tienda4
337,558,2022-04-27,278.0,Tarjeta Débito,Tienda1
338,312,2020-04-05,157.09,Efectivo,Tienda2
339,302,2019-06-29,23.69,Efectivo,Tienda3
340,500,2022-03-03,279.88,Tarjeta Débito,Tienda4
341,431,2023-09-01,131.26,Transferencia,Tienda5
342,63,2021-05-06,164.05,Transferencia,Tienda3
343,396,2022-12-14,210.75,Tarjeta Débito,Tienda2
344,302,2021-10-08,255.54,Efectivo,Tienda2
345,98,2024-02-29,228.88,Transferencia,Tienda4
346,306,2024-02-12,208.91,Efectivo,Tienda2
347,333,2019-06-01,117.17,Tarjeta Crédito,Tienda5
348,179,2024-02-10,231.84,Transferencia,Tienda2
349,548,2021-11-17,47.67,Tarjeta Débito,Tienda5
350,281,2021-03-23,82.75,Transferencia,Tienda3
351,79,2019-12-19,285.53,Tarjeta Débito,Tienda1
352,250,2021-03-06,254.32,Tarjeta Débito,Tienda3
353,61,2020-01-29,36.97,Transferencia,Tienda1
354,332,2021-01-01,105.97,Tarjeta Débito,Tienda2
355,547,2022-07-24,216.95,Tarjeta Crédito,Tienda5
356,680,2020-02-26,202.96,Tarjeta Crédito,Tienda4
357,546,2021-12-04,196.62,Tarjeta Crédito,Tienda2
358,699,2021-05-01,231.07,Efectivo,Tienda3
359,643,2021-09-09,23.19,Efectivo,Tienda1
360,537,2024-01-20,75.8,Efectivo,Tienda3
361,631,2019-12-29,55.0,Transferencia,Tienda5
362,422,2021-01-28,60.57,Transferencia,Tienda1
363,689,2022-08-08,37.41,Tarjeta Débito,Tienda1
364,286,2019-04-16,110.2,Tarjeta Crédito,Tienda2
365,363,2024-02-04,30.78,Efectivo,Tienda1
366,428,2020-08-12,296.59,Tarjeta Débito,Tienda4
367,164,2020-09-28,292.38,Tarjeta Débito,Tienda5
368,645,2019-07-27,104.71,Tarjeta Crédito,Tienda3
369,138,2024-02-10,215.44,Tarjeta Crédito,Tienda1
370,518,2020-05-25,107.29,Transferencia,Tienda3
371,53,2019-02-06,74.77,Efectivo,Tienda2
372,234,2022-11-28,116.43,Efectivo,Tienda2
373,659,2019-02-05,90.12,Tarjeta Débito,Tienda1
374,669,2020-04-09,229.13,Tarjeta Crédito,Tienda5
375,395,2019-12-23,158.32,Tarjeta Débito,Tienda5
376,37,2023-06-27,159.23,Efectivo,Tienda4
377,88,2023-02-02,86.73,Efectivo,Tienda3
378,374,2021-10-12,261.59,Efectivo,Tienda1
379,669,2022-09-07,145.43,Efectivo,Tienda5
380,537,2021-11-29,171.44,Efectivo,Tienda3
381,206,2019-09-24,161.17,Tarjeta Débito,Tienda4
382,216,2022-03-02,296.18,Transferencia,Tienda4
383,198,2023-01-13,286.7,Efectivo,Tienda4
384,516,2022-05-05,263.51,Tarjeta Crédito,Tienda3
385,159,2019-09-10,241.89,Tarjeta Crédito,Tienda4
386,632,2023-04-24,243.02,Efectivo,Tienda4
387,237,2021-10-12,173.92,Tarjeta Crédito,Tienda4
388,572,2020-03-15,224.52,Transferencia,Tienda3
389,75,2019-01-04,216.01,Efectivo,Tienda3
390,160,2023-07-18,241.01,Tarjeta Débito,Tienda1
391,62,2020-07-04,209.87,Efectivo,Tienda1
392,110,2022-02-16,279.48,Tarjeta Crédito,Tienda2
393,502,2022-05-23,158.37,Efectivo,Tienda5
394,416,2022-04-29,222.74,Transferencia,Tienda4
395,242,2020-02-09,266.01,Tarjeta Crédito,Tienda3
396,400,2023-02-12,177.8,Efectivo,Tienda4
397,400,2019-03-26,208.39,Tarjeta Crédito,Tienda2
398,177,2019-01-21,191.75,Efectivo,Tienda5
399,109,2022-01-03,86.54,Efectivo,Tienda1
400,671,2020-12-25,119.62,Transferencia,Tienda3
401,215,2021-05-16,293.54,Tarjeta Crédito,Tienda2
402,440,2021-11-26,133.11,Tarjeta Crédito,Tienda2
403,653,2020-02-12,235.69,Tarjeta Débito,Tienda5
404,288,2019-07-05,75.62,Efectivo,Tienda2
405,168,2020-05-23,103.35,Efectivo,Tienda5
406,577,2022-11-09,232.55,Efectivo,Tienda5
407,469,2022-03-23,65.56,Transferencia,Tienda5
408,328,2021-04-04,122.74,Tarjeta Débito,Tienda5
409,483,2019-01-22,41.69,Efectivo,Tienda4
410,205,2021-10-14,81.06,Tarjeta Crédito,Tienda3
411,655,2020-02-03,104.32,Efectivo,Tienda2
412,578,2021-08-08,206.33,Transferencia,Tienda3
413,136,2021-10-05,210.66,Tarjeta Crédito,Tienda5
414,381,2019-06-18,216.27,Tarjeta Débito,Tienda4
415,268,2020-08-25,141.48,Tarjeta Crédito,Tienda2
416,88,2021-07-19,155.14,Tarjeta Crédito,Tienda5
417,332,2020-03-08,286.0,Tarjeta Débito,Tienda2
418,234,2023-07-02,145.4,Transferencia,Tienda1
419,569,2021-01-09,151.01,Transferencia,Tienda4
420,631,2020-10-01,270.19,Tarjeta Crédito,Tienda2
421,5,2022-03-25,282.61,Tarjeta Crédito,Tienda1
422,506,2023-11-12,187.75,Tarjeta Débito,Tienda1
423,512,2020-04-03,148.47,Efectivo,Tienda4
424,263,2022-07-25,111.26,Efectivo,Tienda1
425,373,2020-09-03,291.36,Transferencia,Tienda2
426,316,2023-12-08,279.89,Transferencia,Tienda5
427,353,2022-04-19,88.45,Transferencia,Tienda2
428,331,2019-02-19,39.4,Transferencia,Tienda2
429,289,2023-10-06,200.38,Efectivo,Tienda1
430,622,2023-11-20,55.2,Tarjeta Crédito,Tienda4
431,163,2019-06-09,240.88,Tarjeta Débito,Tienda1
432,163,2021-10-02,135.21,Tarjeta Crédito,Tienda4
433,228,2020-05-07,181.21,Tarjeta Débito,Tienda5
434,48,2020-01-25,161.31,Tarjeta Crédito,Tienda2
435,315,2021-12-12,254.14,Efectivo,Tienda5
436,244,2023-09-18,243.49,Transferencia,Tienda2
437,196,2023-02-18,214.53,Transferencia,Tienda3
438,277,2021-09-03,105.0,Tarjeta Débito,Tienda5
439,520,2020-05-19,294.62,Tarjeta Crédito,Tienda5
440,691,2019-12-27,99.59,Efectivo,Tienda2
441,562,2021-07-07,60.22,Tarjeta Crédito,Tienda1
442,116,2019-07-31,107.17,Tarjeta Débito,Tienda5
443,153,2022-09-23,16.65,Efectivo,Tienda2
444,562,2023-08-03,232.28,Tarjeta Crédito,Tienda3
445,589,2022-11-19,279.54,Transferencia,Tienda5
446,494,2019-05-02,22.39,Tarjeta Crédito,Tienda5
447,241,2024-02-07,239.93,Tarjeta Débito,Tienda5
448,640,2019-09-16,270.54,Transferencia,Tienda3
449,514,2020-05-23,208.59,Tarjeta Crédito,Tienda2
450,517,2022-04-06,250.88,Tarjeta Débito,Tienda1
451,476,2022-03-21,218.32,Efectivo,Tienda2
452,213,2023-04-16,220.53,Transferencia,Tienda5
453,386,2022-11-24,137.61,Transferencia,Tienda5
454,603,2020-03-02,70.54,Tarjeta Débito,Tienda4
455,265,2019-07-31,265.76,Transferencia,Tienda2
456,682,2019-09-10,216.81,Efectivo,Tienda4
457,395,2022-08-14,61.78,Tarjeta Crédito,Tienda5
458,569,2023-11-05,180.47,Tarjeta Crédito,Tienda3
459,213,2022-02-17,219.46,Transferencia,Tienda1
460,527,2024-02-24,138.01,Tarjeta Débito,Tienda2
461,188,2021-09-09,34.23,Tarjeta Crédito,Tienda2
462,596,2024-01-19,243.79,Tarjeta Débito,Tienda4
463,5,2020-03-07,269.58,Transferencia,Tienda1
464,185,2021-08-04,75.14,Efectivo,Tienda4
465,144,2019-10-26,163.82,Tarjeta Crédito,Tienda3
466,20,2020-01-11,263.92,Tarjeta Débito,Tienda1
467,590,2020-02-10,229.54,Tarjeta Débito,Tienda2
468,167,2022-02-27,237.28,Tarjeta Crédito,Tienda1
469,469,2021-03-19,19.0,Tarjeta Crédito,Tienda3
470,253,2019-09-23,299.15,Tarjeta Crédito,Tienda2
471,95,2023-05-12,128.58,Efectivo,Tienda1
472,496,2020-01-22,243.68,Tarjeta Crédito,Tienda4
473,655,2020-02-18,218.93,Tarjeta Crédito,Tienda4
474,661,2019-05-06,60.67,Efectivo,Tienda5
475,118,2023-01-08,277.71,Tarjeta Débito,Tienda3
