venta_id,producto_id,cantidad,precio_unitario_eur,precio_total_eur,tienda
120,171,3,87.47,262.41,Tienda1
122,250,3,42.28,126.84,Tienda4
16,180,3,45.36,136.08,Tienda3
99,138,1,24.81,24.81,Tienda1
38,32,1,34.12,34.12,Tienda5
637,110,1,116.49,116.49,Tienda2
297,162,1,77.73,77.73,Tienda5
308,52,2,88.55,177.1,Tienda2
146,197,1,94.42,94.42,Tienda3
277,46,2,83.62,167.24,Tienda2
346,152,2,34.6,69.2,Tienda1
329,89,1,45.96,45.96,Tienda3
552,236,1,38.35,38.35,Tienda3
309,77,2,49.46,98.92,Tienda4
500,37,1,78.65,78.65,Tienda5
80,13,1,58.14,58.14,Tienda4
542,2,1,64.14,64.14,Tienda1
506,178,1,109.54,109.54,Tienda1
42,126,3,65.39,196.17,Tienda2
657,48,1,16.66,16.66,Tienda4
493,79,3,74.6,223.8,Tienda5
772,130,3,118.19,354.57,Tienda4
395,163,3,14.82,44.46,Tienda5
169,95,3,115.82,347.46,Tienda4
131,33,1,40.26,40.26,Tienda4
397,19,3,108.61,325.83,Tienda3
3,55,3,63.53,190.59,Tienda5
529,192,2,71.05,142.1,Tienda4
564,187,2,43.53,87.06,Tienda4
346,172,2,69.34,138.68,Tienda1
53,36,3,110.96,332.88,Tienda1
501,220,3,28.39,85.17,Tienda2
389,132,1,39.36,39.36,Tienda5
437,17,2,92.89,185.78,Tienda3
427,166,3,113.54,340.62,Tienda3
710,107,2,39.53,79.06,Tienda2
503,145,2,39.97,79.94,Tienda2
460,4,3,66.05,198.15,Tienda2
725,224,2,89.91,179.82,Tienda3
146,31,2,101.26,202.52,Tienda3
151,97,1,95.53,95.53,Tienda4
535,181,3,60.86,182.58,Tienda3
305,77,3,49.46,148.38,Tienda4
524,73,3,105.42,316.26,Tienda5
127,143,3,29.12,87.36,Tienda5
512,156,2,114.69,229.38,Tienda4
452,11,1,19.24,19.24,Tienda5
60,52,3,88.55,265.65,Tienda3
167,78,2,109.36,218.72,Tienda2
302,110,1,116.49,116.49,Tienda5
740,127,1,77.73,77.73,Tienda3
252,227,2,49.3,98.6,Tienda5
708,55,2,63.53,127.06,Tienda2
30,133,2,41.55,83.1,Tienda2
460,199,1,27.21,27.21,Tienda2
151,25,2,112.44,224.88,Tienda4
42,143,3,29.12,87.36,Tienda2
371,150,2,23.93,47.86,Tienda3
631,157,1,93.07,93.07,Tienda4
243,157,3,93.07,279.21,Tienda2
754,230,1,117.02,117.02,Tienda4
202,73,1,105.42,105.42,Tienda2
331,40,1,70.59,70.59,Tienda1
53,216,2,93.02,186.04,Tienda1
237,160,1,58.71,58.71,Tienda4
643,157,3,93.07,279.21,Tienda1
456,208,2,70.5,141.0,Tienda3
12,96,3,69.69,209.07,Tienda5
249,229,1,114.94,114.94,Tienda1
351,155,3,51.75,155.25,Tienda4
382,110,1,116.49,116.49,Tienda1
654,105,2,68.99,137.98,Tienda2
582,192,3,71.05,213.15,Tienda3
628,162,3,77.73,233.19,Tienda1
693,90,3,97.6,292.8,Tienda2
57,169,2,60.2,120.4,Tienda1
210,226,2,79.7,159.4,Tienda3
637,41,2,101.89,203.78,Tienda2
347,100,2,98.58,197.16,Tienda4
657,232,2,96.15,192.3,Tienda4
449,117,1,59.38,59.38,Tienda4
290,9,3,108.22,324.66,Tienda4
287,104,3,84.57,253.71,Tienda3
132,183,3,100.12,300.36,Tienda4
417,212,2,51.77,103.54,Tienda5
128,14,2,79.25,158.5,Tienda1
302,95,3,115.82,347.46,Tienda5
396,212,2,51.77,103.54,Tienda1
142,31,3,101.26,303.78,Tienda3
539,97,2,95.53,191.06,Tienda2
571,239,2,85.4,170.8,Tienda2
33,41,1,101.89,101.89,Tienda5
311,140,2,73.9,147.8,Tienda2
96,173,3,72.14,216.42,Tienda1
113,79,3,74.6,223.8,Tienda5
146,51,2,40.85,81.7,Tienda3
615,13,3,58.14,174.42,Tienda1
622,106,2,41.86,83.72,Tienda5
701,135,1,56.13,56.13,Tienda3
73,137,3,56.35,169.05,Tienda5
333,60,2,66.98,133.96,Tienda3
560,62,3,12.42,37.26,Tienda5
94,36,2,110.96,221.92,Tienda4
70,193,3,18.33,54.99,Tienda2
586,65,2,60.21,120.42,Tienda2
451,202,2,90.56,181.12,Tienda1
586,55,3,63.53,190.59,Tienda2
370,3,3,104.2,312.6,Tienda1
668,90,2,97.6,195.2,Tienda1
219,216,2,93.02,186.04,Tienda4
236,131,2,69.12,138.24,Tienda5
459,161,2,23.94,47.88,Tienda5
15,19,2,108.61,217.22,Tienda3
159,5,2,16.67,33.34,Tienda2
376,56,3,46.53,139.59,Tienda4
8,12,2,69.74,139.48,Tienda2
685,6,3,11.0,33.0,Tienda5
741,37,3,78.65,235.95,Tienda3
382,151,2,103.45,206.9,Tienda1
436,215,1,28.69,28.69,Tienda3
650,192,2,71.05,142.1,Tienda4
142,95,3,115.82,347.46,Tienda3
688,7,3,32.14,96.42,Tienda2
643,196,3,117.49,352.47,Tienda1
590,179,3,93.03,279.09,Tienda3
165,238,3,64.61,193.83,Tienda3
241,88,3,111.51,334.53,Tienda2
6,83,1,38.9,38.9,Tienda1
316,121,3,81.36,244.08,Tienda4
678,26,2,114.88,229.76,Tienda3
482,132,2,39.36,78.72,Tienda1
33,127,2,77.73,155.46,Tienda5
104,9,2,108.22,216.44,Tienda2
549,188,1,30.64,30.64,Tienda1
585,188,1,30.64,30.64,Tienda4
498,93,1,93.9,93.9,Tienda2
56,4,3,66.05,198.15,Tienda4
162,24,1,65.24,65.24,Tienda4
640,112,2,91.69,183.38,Tienda2
357,204,1,98.03,98.03,Tienda1
1,85,2,65.79,131.58,Tienda2
582,236,2,38.35,76.7,Tienda3
269,242,2,90.53,181.06,Tienda4
619,55,1,63.53,63.53,Tienda2
703,221,1,83.93,83.93,Tienda3
92,209,2,113.25,226.5,Tienda3
634,128,3,94.95,284.85,Tienda3
342,38,3,45.07,135.21,Tienda5
115,130,2,118.19,236.38,Tienda3
493,245,2,117.42,234.84,Tienda5
279,121,2,81.36,162.72,Tienda4
118,110,3,116.49,349.47,Tienda1
231,26,3,114.88,344.64,Tienda1
137,33,3,40.26,120.78,Tienda3
320,194,1,20.61,20.61,Tienda3
169,75,3,95.0,285.0,Tienda4
22,163,1,14.82,14.82,Tienda1
617,233,1,108.58,108.58,Tienda2
366,205,1,101.39,101.39,Tienda3
207,209,3,113.25,339.75,Tienda5
679,160,2,58.71,117.42,Tienda3
385,163,1,14.82,14.82,Tienda5
458,12,1,69.74,69.74,Tienda5
271,104,3,84.57,253.71,Tienda1
330,124,1,104.5,104.5,Tienda3
428,69,3,12.14,36.42,Tienda5
701,105,2,68.99,137.98,Tienda3
374,206,2,107.32,214.64,Tienda5
219,206,1,107.32,107.32,Tienda4
5,186,3,102.77,308.31,Tienda1
265,54,1,66.24,66.24,Tienda4
563,204,3,98.03,294.09,Tienda1
333,210,3,61.31,183.93,Tienda3
98,186,3,102.77,308.31,Tienda1
438,172,3,69.34,208.02,Tienda4
619,38,2,45.07,90.14,Tienda2
122,154,1,29.63,29.63,Tienda4
50,91,1,60.2,60.2,Tienda4
335,60,1,66.98,66.98,Tienda3
446,121,1,81.36,81.36,Tienda2
721,143,3,29.12,87.36,Tienda2
656,150,1,23.93,23.93,Tienda1
656,155,2,51.75,103.5,Tienda1
467,16,1,39.9,39.9,Tienda1
322,189,1,23.77,23.77,Tienda5
102,108,3,80.1,240.3,Tienda2
91,72,1,31.85,31.85,Tienda3
47,166,2,113.54,227.08,Tienda3
773,118,2,21.15,42.3,Tienda2
387,150,2,23.93,47.86,Tienda1
242,126,2,65.39,130.78,Tienda3
485,22,2,30.31,60.62,Tienda5
780,241,1,100.84,100.84,Tienda5
259,243,1,108.2,108.2,Tienda1
47,248,1,102.09,102.09,Tienda3
621,165,3,81.34,244.02,Tienda5
668,200,3,90.44,271.32,Tienda1
262,225,1,50.17,50.17,Tienda2
304,41,2,101.89,203.78,Tienda1
232,186,2,102.77,205.54,Tienda3
152,175,2,23.24,46.48,Tienda1
349,168,3,73.6,220.8,Tienda5
149,180,2,45.36,90.72,Tienda2
296,131,1,69.12,69.12,Tienda4
303,104,2,84.57,169.14,Tienda4
641,47,1,117.4,117.4,Tienda4
736,123,1,64.72,64.72,Tienda2
595,51,1,40.85,40.85,Tienda3
185,216,3,93.02,279.06,Tienda2
1,67,1,78.41,78.41,Tienda2
683,139,1,11.01,11.01,Tienda4
95,167,2,34.76,69.52,Tienda1
408,49,2,74.65,149.3,Tienda4
423,68,3,105.11,315.33,Tienda2
317,169,3,60.2,180.6,Tienda1
547,171,3,87.47,262.41,Tienda5
512,196,3,117.49,352.47,Tienda4
32,225,2,50.17,100.34,Tienda2
437,88,2,111.51,223.02,Tienda3
786,109,2,62.31,124.62,Tienda3
573,188,1,30.64,30.64,Tienda4
709,161,2,23.94,47.88,Tienda4
463,187,3,43.53,130.59,Tienda5
210,245,2,117.42,234.84,Tienda3
258,105,2,68.99,137.98,Tienda5
315,25,1,112.44,112.44,Tienda2
167,189,1,23.77,23.77,Tienda2
194,130,2,118.19,236.38,Tienda3
771,15,2,117.3,234.6,Tienda4
570,140,2,73.9,147.8,Tienda3
697,41,2,101.89,203.78,Tienda4
505,161,2,23.94,47.88,Tienda3
686,69,1,12.14,12.14,Tienda1
90,167,3,34.76,104.28,Tienda5
122,76,3,94.35,283.05,Tienda4
67,150,1,23.93,23.93,Tienda4
382,21,3,93.95,281.85,Tienda1
12,32,3,34.12,102.36,Tienda5
277,83,1,38.9,38.9,Tienda2
165,15,2,117.3,234.6,Tienda3
567,9,1,108.22,108.22,Tienda5
133,81,2,114.86,229.72,Tienda3
339,198,3,78.4,235.2,Tienda2
240,232,2,96.15,192.3,Tienda5
399,13,3,58.14,174.42,Tienda2
343,126,3,65.39,196.17,Tienda3
411,144,3,65.84,197.52,Tienda4
71,246,3,80.83,242.49,Tienda4
513,124,3,104.5,313.5,Tienda2
688,104,1,84.57,84.57,Tienda2
102,86,1,17.98,17.98,Tienda2
552,27,1,91.3,91.3,Tienda3
284,150,3,23.93,71.79,Tienda3
603,106,2,41.86,83.72,Tienda3
359,24,3,65.24,195.72,Tienda2
529,45,1,25.28,25.28,Tienda4
216,7,3,32.14,96.42,Tienda5
738,73,2,105.42,210.84,Tienda5
461,178,3,109.54,328.62,Tienda5
544,42,3,78.81,236.43,Tienda5
15,123,2,64.72,129.44,Tienda3
526,119,2,16.1,32.2,Tienda2
437,2,1,64.14,64.14,Tienda3
694,62,1,12.42,12.42,Tienda5
582,169,3,60.2,180.6,Tienda3
735,99,3,84.41,253.23,Tienda4
347,68,1,105.11,105.11,Tienda4
549,29,3,55.28,165.84,Tienda1
267,23,3,48.31,144.93,Tienda3
707,48,2,16.66,33.32,Tienda2
264,115,1,72.89,72.89,Tienda5
155,137,2,56.35,112.7,Tienda2
756,60,2,66.98,133.96,Tienda4
332,190,2,85.51,171.02,Tienda4
309,103,1,107.23,107.23,Tienda4
376,62,2,12.42,24.84,Tienda4
692,15,2,117.3,234.6,Tienda5
610,135,1,56.13,56.13,Tienda4
481,3,2,104.2,208.4,Tienda4
745,103,3,107.23,321.69,Tienda4
297,5,2,16.67,33.34,Tienda5
381,30,2,28.96,57.92,Tienda3
608,43,1,111.09,111.09,Tienda3
658,8,3,55.66,166.98,Tienda4
274,142,2,118.79,237.58,Tienda5
168,156,1,114.69,114.69,Tienda2
105,184,3,88.89,266.67,Tienda2
408,109,2,62.31,124.62,Tienda4
327,176,3,58.91,176.73,Tienda2
271,239,3,85.4,256.2,Tienda1
694,205,1,101.39,101.39,Tienda5
368,85,1,65.79,65.79,Tienda5
156,81,2,114.86,229.72,Tienda5
371,44,2,110.0,220.0,Tienda3
756,195,2,22.96,45.92,Tienda4
133,149,2,56.37,112.74,Tienda3
668,198,1,78.4,78.4,Tienda1
250,173,1,72.14,72.14,Tienda2
766,113,3,96.13,288.39,Tienda5
379,212,1,51.77,51.77,Tienda3
280,238,1,64.61,64.61,Tienda1
448,104,3,84.57,253.71,Tienda1
649,85,2,65.79,131.58,Tienda2
139,50,2,118.46,236.92,Tienda2
172,118,1,21.15,21.15,Tienda4
590,145,3,39.97,119.91,Tienda3
743,68,1,105.11,105.11,Tienda5
797,70,3,76.49,229.47,Tienda4
399,233,2,108.58,217.16,Tienda2
126,156,1,114.69,114.69,Tienda2
16,243,3,108.2,324.6,Tienda3
777,47,1,117.4,117.4,Tienda3
224,188,1,30.64,30.64,Tienda4
323,185,3,20.57,61.71,Tienda4
95,218,1,70.07,70.07,Tienda1
592,76,2,94.35,188.7,Tienda2
709,184,3,88.89,266.67,Tienda4
605,76,1,94.35,94.35,Tienda1
746,146,2,17.85,35.7,Tienda3
574,90,1,97.6,97.6,Tienda3
27,154,3,29.63,88.89,Tienda4
22,15,2,117.3,234.6,Tienda1
436,167,3,34.76,104.28,Tienda3
71,24,1,65.24,65.24,Tienda4
136,16,3,39.9,119.7,Tienda5
545,78,1,109.36,109.36,Tienda3
49,92,3,50.35,151.05,Tienda4
100,61,3,114.52,343.56,Tienda5
261,97,2,95.53,191.06,Tienda3
736,32,3,34.12,102.36,Tienda2
614,53,2,50.47,100.94,Tienda5
292,78,3,109.36,328.08,Tienda1
75,131,3,69.12,207.36,Tienda1
108,25,1,112.44,112.44,Tienda5
466,249,3,112.56,337.68,Tienda2
464,233,3,108.58,325.74,Tienda1
781,233,1,108.58,108.58,Tienda1
330,250,2,42.28,84.56,Tienda3
315,77,2,49.46,98.92,Tienda2
15,22,1,30.31,30.31,Tienda3
214,151,3,103.45,310.35,Tienda2
407,229,2,114.94,229.88,Tienda2
346,7,2,32.14,64.28,Tienda1
189,157,1,93.07,93.07,Tienda1
374,27,1,91.3,91.3,Tienda5
254,178,3,109.54,328.62,Tienda2
154,68,2,105.11,210.22,Tienda2
255,170,2,108.27,216.54,Tienda5
593,1,2,91.77,183.54,Tienda5
723,66,3,73.65,220.95,Tienda5
209,27,1,91.3,91.3,Tienda3
254,41,2,101.89,203.78,Tienda2
527,245,2,117.42,234.84,Tienda2
67,148,3,44.83,134.49,Tienda4
407,153,3,119.44,358.32,Tienda2
636,51,1,40.85,40.85,Tienda4
349,126,2,65.39,130.78,Tienda5
35,49,3,74.65,223.95,Tienda3
762,80,3,96.65,289.95,Tienda2
515,134,3,105.72,317.16,Tienda5
243,224,3,89.91,269.73,Tienda2
248,74,3,55.56,166.68,Tienda1
634,69,1,12.14,12.14,Tienda3
309,201,1,88.5,88.5,Tienda4
27,203,2,82.97,165.94,Tienda4
590,111,3,55.85,167.55,Tienda3
218,190,3,85.51,256.53,Tienda5
424,133,2,41.55,83.1,Tienda3
753,56,2,46.53,93.06,Tienda4
396,192,3,71.05,213.15,Tienda1
437,56,1,46.53,46.53,Tienda3
90,205,3,101.39,304.17,Tienda5
189,140,1,73.9,73.9,Tienda1
327,20,3,15.88,47.64,Tienda2
178,39,2,46.65,93.3,Tienda4
448,122,3,78.13,234.39,Tienda1
495,247,2,118.55,237.1,Tienda5
107,80,1,96.65,96.65,Tienda1
602,90,3,97.6,292.8,Tienda1
725,103,3,107.23,321.69,Tienda3
722,163,2,14.82,29.64,Tienda2
519,73,1,105.42,105.42,Tienda2
647,235,2,25.35,50.7,Tienda1
629,94,1,50.68,50.68,Tienda2
659,111,2,55.85,111.7,Tienda1
581,142,3,118.79,356.37,Tienda2
294,131,2,69.12,138.24,Tienda2
731,77,2,49.46,98.92,Tienda2
498,106,2,41.86,83.72,Tienda2
124,193,1,18.33,18.33,Tienda4
77,127,2,77.73,155.46,Tienda4
468,210,3,61.31,183.93,Tienda4
716,130,1,118.19,118.19,Tienda3
278,75,1,95.0,95.0,Tienda5
708,104,2,84.57,169.14,Tienda2
716,169,1,60.2,60.2,Tienda3
745,186,2,102.77,205.54,Tienda4
56,62,3,12.42,37.26,Tienda4
331,239,1,85.4,85.4,Tienda1
395,121,2,81.36,162.72,Tienda5
113,46,3,83.62,250.86,Tienda5
268,248,1,102.09,102.09,Tienda3
772,3,2,104.2,208.4,Tienda4
566,3,1,104.2,104.2,Tienda5
621,164,1,112.93,112.93,Tienda5
537,159,3,88.74,266.22,Tienda3
352,66,3,73.65,220.95,Tienda1
155,77,3,49.46,148.38,Tienda2
583,149,3,56.37,169.11,Tienda5
653,17,3,92.89,278.67,Tienda5
794,134,1,105.72,105.72,Tienda3
97,98,2,87.79,175.58,Tienda3
377,144,2,65.84,131.68,Tienda5
101,117,1,59.38,59.38,Tienda5
242,215,1,28.69,28.69,Tienda3
666,11,1,19.24,19.24,Tienda3
303,182,2,78.65,157.3,Tienda4
677,141,2,110.91,221.82,Tienda1
796,164,1,112.93,112.93,Tienda2
691,62,1,12.42,12.42,Tienda1
330,174,2,13.31,26.62,Tienda3
626,79,2,74.6,149.2,Tienda1
642,25,3,112.44,337.32,Tienda1
739,207,2,60.98,121.96,Tienda1
730,201,3,88.5,265.5,Tienda4
725,162,2,77.73,155.46,Tienda3
557,58,2,10.68,21.36,Tienda4
372,112,1,91.69,91.69,Tienda1
31,42,2,78.81,157.62,Tienda2
14,160,3,58.71,176.13,Tienda4
688,88,1,111.51,111.51,Tienda2
538,65,3,60.21,180.63,Tienda4
296,69,2,12.14,24.28,Tienda4
101,211,3,58.63,175.89,Tienda5
332,194,3,20.61,61.83,Tienda4
373,56,1,46.53,46.53,Tienda5
175,231,3,59.23,177.69,Tienda2
357,109,1,62.31,62.31,Tienda1
326,4,1,66.05,66.05,Tienda3
499,210,3,61.31,183.93,Tienda1
293,196,1,117.49,117.49,Tienda3
255,233,2,108.58,217.16,Tienda5
591,1,1,91.77,91.77,Tienda4
555,57,1,43.87,43.87,Tienda3
518,32,2,34.12,68.24,Tienda2
727,86,3,17.98,53.94,Tienda5
318,23,3,48.31,144.93,Tienda2
11,6,2,11.0,22.0,Tienda2
777,11,2,19.24,38.48,Tienda3
452,225,2,50.17,100.34,Tienda5
50,60,3,66.98,200.94,Tienda4
197,163,1,14.82,14.82,Tienda3
373,104,1,84.57,84.57,Tienda5
453,163,3,14.82,44.46,Tienda5
440,124,1,104.5,104.5,Tienda3
299,202,2,90.56,181.12,Tienda3
670,1,1,91.77,91.77,Tienda3
651,221,3,83.93,251.79,Tienda5
46,171,1,87.47,87.47,Tienda1
533,99,2,84.41,168.82,Tienda4
707,182,2,78.65,157.3,Tienda2
713,181,2,60.86,121.72,Tienda2
427,228,1,35.5,35.5,Tienda3
273,142,1,118.79,118.79,Tienda2
136,243,1,108.2,108.2,Tienda5
661,35,1,44.7,44.7,Tienda4
58,71,3,108.2,324.6,Tienda2
781,146,1,17.85,17.85,Tienda1
789,181,2,60.86,121.72,Tienda1
160,31,1,101.26,101.26,Tienda2
284,173,1,72.14,72.14,Tienda3
230,67,3,78.41,235.23,Tienda4
733,104,1,84.57,84.57,Tienda4
626,23,2,48.31,96.62,Tienda1
800,99,3,84.41,253.23,Tienda2
609,61,2,114.52,229.04,Tienda1
776,216,1,93.02,93.02,Tienda3
613,174,3,13.31,39.93,Tienda5
191,94,2,50.68,101.36,Tienda3
722,38,2,45.07,90.14,Tienda2
742,112,3,91.69,275.07,Tienda1
474,76,2,94.35,188.7,Tienda2
349,28,3,43.33,129.99,Tienda5
512,205,1,101.39,101.39,Tienda4
457,181,3,60.86,182.58,Tienda3
560,177,3,114.37,343.11,Tienda5
94,191,2,106.88,213.76,Tienda4
659,30,2,28.96,57.92,Tienda1
691,236,2,38.35,76.7,Tienda1
328,15,2,117.3,234.6,Tienda1
311,166,3,113.54,340.62,Tienda2
383,25,1,112.44,112.44,Tienda2
199,86,2,17.98,35.96,Tienda2
600,54,1,66.24,66.24,Tienda1
354,71,2,108.2,216.4,Tienda4
471,47,1,117.4,117.4,Tienda2
146,204,2,98.03,196.06,Tienda3
745,169,3,60.2,180.6,Tienda4
652,10,1,67.7,67.7,Tienda1
376,149,2,56.37,112.74,Tienda4
378,226,1,79.7,79.7,Tienda4
211,128,1,94.95,94.95,Tienda5
394,70,3,76.49,229.47,Tienda3
330,138,1,24.81,24.81,Tienda3
739,132,3,39.36,118.08,Tienda1
741,74,1,55.56,55.56,Tienda3
389,15,2,117.3,234.6,Tienda5
593,182,1,78.65,78.65,Tienda5
460,188,1,30.64,30.64,Tienda2
25,133,1,41.55,41.55,Tienda2
609,231,3,59.23,177.69,Tienda1
303,70,1,76.49,76.49,Tienda4
252,90,3,97.6,292.8,Tienda5
123,5,3,16.67,50.01,Tienda5
647,126,2,65.39,130.78,Tienda1
327,118,2,21.15,42.3,Tienda2
701,72,2,31.85,63.7,Tienda3
725,133,1,41.55,41.55,Tienda3
282,225,2,50.17,100.34,Tienda4
290,43,1,111.09,111.09,Tienda4
395,99,3,84.41,253.23,Tienda5
426,53,3,50.47,151.41,Tienda3
385,46,1,83.62,83.62,Tienda5
175,19,3,108.61,325.83,Tienda2
53,4,2,66.05,132.1,Tienda1
435,34,1,22.51,22.51,Tienda1
218,137,2,56.35,112.7,Tienda5
85,217,2,30.88,61.76,Tienda3
345,1,1,91.77,91.77,Tienda5
274,215,2,28.69,57.38,Tienda5
744,238,3,64.61,193.83,Tienda2
673,21,2,93.95,187.9,Tienda2
601,174,1,13.31,13.31,Tienda4
474,32,2,34.12,68.24,Tienda2
568,128,1,94.95,94.95,Tienda4
638,169,3,60.2,180.6,Tienda2
371,198,1,78.4,78.4,Tienda3
329,56,1,46.53,46.53,Tienda3
164,140,3,73.9,221.7,Tienda4
71,126,2,65.39,130.78,Tienda4
713,166,3,113.54,340.62,Tienda2
393,187,3,43.53,130.59,Tienda3
799,46,1,83.62,83.62,Tienda2
51,43,3,111.09,333.27,Tienda5
668,65,1,60.21,60.21,Tienda1
365,141,2,110.91,221.82,Tienda2
386,33,3,40.26,120.78,Tienda2
270,152,3,34.6,103.8,Tienda3
474,158,3,12.01,36.03,Tienda2
123,35,1,44.7,44.7,Tienda5
666,76,1,94.35,94.35,Tienda3
60,113,3,96.13,288.39,Tienda3
291,130,2,118.19,236.38,Tienda3
441,146,1,17.85,17.85,Tienda5
608,26,2,114.88,229.76,Tienda3
195,94,2,50.68,101.36,Tienda1
698,180,3,45.36,136.08,Tienda1
321,191,1,106.88,106.88,Tienda4
68,239,3,85.4,256.2,Tienda5
614,66,2,73.65,147.3,Tienda5
294,189,2,23.77,47.54,Tienda2
710,134,1,105.72,105.72,Tienda2
390,36,3,110.96,332.88,Tienda1
364,135,3,56.13,168.39,Tienda5
323,179,1,93.03,93.03,Tienda4
649,171,3,87.47,262.41,Tienda2
473,181,1,60.86,60.86,Tienda1
551,97,2,95.53,191.06,Tienda3
477,43,1,111.09,111.09,Tienda5
92,76,3,94.35,283.05,Tienda3
247,240,3,24.43,73.29,Tienda4
423,14,3,79.25,237.75,Tienda2
514,37,1,78.65,78.65,Tienda5
